# Path (394 steps)
(52,20,25)
(53,20,25)
(54,20,25)
(54,21,24)
(53,21,23)
(52,21,23)
(52,22,23)
(52,23,23)
(52,24,23)
(52,25,22)
(53,25,22)
(54,25,22)
(55,25,22)
(56,25,22)
(57,25,22)
(58,25,22)
(59,25,22)
(60,25,22)
(60,24,22)
(60,23,22)
(60,22,21)
(60,21,21)
(61,21,21)
(61,20,21)
(61,19,21)
(62,19,21)
(62,18,21)
(62,17,21)
(61,17,21)
(61,16,21)
(60,16,21)
(59,16,21)
(58,16,21)
(57,16,21)
(57,15,20)
(56,15,20)
(56,14,20)
(55,14,20)
(55,13,20)
(54,13,20)
(53,13,20)
(53,14,20)
(53,15,20)
(52,15,20)
(52,16,20)
(52,17,20)
(51,17,20)
(50,17,20)
(49,17,19)
(49,18,19)
(48,18,19)
(48,19,19)
(48,20,19)
(48,21,19)
(49,21,19)
(49,22,19)
(50,22,19)
(50,23,19)
(50,24,19)
(50,25,19)
(50,26,19)
(50,27,18)
(51,27,18)
(51,28,18)
(52,28,18)
(53,28,18)
(54,28,18)
(55,28,18)
(56,28,18)
(57,28,18)
(58,28,18)
(59,28,17)
(60,28,17)
(61,28,17)
(62,28,17)
(62,27,17)
(62,26,17)
(63,26,17)
(63,25,17)
(63,24,17)
(63,23,17)
(63,22,17)
(63,21,17)
(63,20,16)
(64,20,16)
(64,19,16)
(64,18,16)
(64,17,16)
(64,16,16)
(64,15,16)
(63,15,16)
(63,14,16)
(62,14,16)
(61,14,16)
(60,14,16)
(59,14,15)
(58,14,15)
(58,13,15)
(58,12,15)
(57,12,15)
(57,11,15)
(56,11,15)
(55,11,15)
(55,10,15)
(54,10,15)
(53,10,15)
(52,10,15)
(52,11,15)
(51,11,15)
(51,12,15)
(51,13,14)
(51,14,14)
(50,14,14)
(50,15,14)
(49,15,14)
(48,15,14)
(48,16,14)
(47,16,14)
(46,16,14)
(46,17,14)
(45,17,14)
(45,18,14)
(45,19,13)
(45,20,13)
(45,21,13)
(45,22,13)
(46,22,13)
(46,23,13)
(47,23,13)
(47,24,13)
(48,24,13)
(48,25,13)
(48,26,13)
(48,27,13)
(48,28,13)
(48,29,12)
(49,29,12)
(49,30,12)
(50,30,12)
(50,31,12)
(51,31,12)
(52,31,12)
(53,31,12)
(54,31,12)
(54,30,12)
(55,30,12)
(56,30,12)
(57,30,14)
(58,30,14)
(59,30,14)
(60,30,14)
(61,30,14)
(62,30,14)
(63,30,14)
(64,30,14)
(64,29,14)
(65,29,14)
(65,28,14)
(65,27,13)
(65,26,13)
(65,25,13)
(65,24,13)
(65,23,13)
(65,22,13)
(65,21,13)
(66,21,13)
(66,20,13)
(67,20,13)
(67,19,13)
(67,18,12)
(67,17,12)
(67,16,12)
(67,15,12)
(67,14,12)
(66,14,12)
(66,13,12)
(65,13,12)
(65,12,12)
(64,12,12)
(63,12,12)
(62,12,12)
(61,12,11)
(60,12,11)
(60,11,11)
(59,11,11)
(59,10,11)
(59,9,11)
(58,9,11)
(58,8,11)
(57,8,11)
(56,8,11)
(56,7,11)
(55,7,11)
(54,7,11)
(53,7,10)
(52,7,10)
(52,8,10)
(51,8,10)
(51,9,10)
(50,9,10)
(50,10,10)
(49,10,10)
(49,11,10)
(49,12,10)
(48,12,10)
(48,13,10)
(47,13,10)
(47,14,9)
(46,14,9)
(45,14,9)
(44,14,9)
(44,15,9)
(43,15,9)
(43,16,9)
(42,16,9)
(42,17,9)
(42,18,9)
(42,19,9)
(42,20,9)
(42,21,9)
(42,22,8)
(43,22,8)
(43,23,8)
(44,23,8)
(44,24,8)
(44,25,8)
(45,25,8)
(45,26,8)
(46,26,8)
(46,27,8)
(46,28,8)
(46,29,8)
(46,30,7)
(46,31,7)
(47,31,7)
(47,32,7)
(48,32,7)
(48,33,7)
(49,33,7)
(49,34,7)
(50,34,7)
(51,34,7)
(52,34,7)
(53,34,7)
(54,34,6)
(54,33,7)
(55,33,6)
(56,33,6)
(57,33,6)
(58,33,6)
(59,33,6)
(60,33,6)
(61,33,6)
(62,33,6)
(63,33,5)
(64,33,5)
(64,32,5)
(65,32,5)
(66,32,5)
(66,31,5)
(67,31,5)
(67,30,5)
(68,30,5)
(68,29,5)
(68,28,5)
(68,27,5)
(68,26,5)
(68,25,4)
(68,24,4)
(68,23,4)
(68,22,4)
(68,21,4)
(69,21,4)
(69,20,4)
(70,20,4)
(70,19,4)
(70,18,4)
(70,17,4)
(70,16,3)
(70,15,3)
(70,14,3)
(70,13,3)
(69,13,3)
(69,12,3)
(68,12,3)
(68,11,3)
(67,11,3)
(66,11,3)
(66,10,3)
(65,10,3)
(64,10,3)
(64,9,2)
(63,9,2)
(62,9,2)
(61,9,2)
(61,8,2)
(60,8,2)
(60,7,2)
(59,7,2)
(59,6,2)
(58,6,2)
(58,5,2)
(57,5,2)
(56,5,2)
(56,4,2)
(56,3,2)
(55,3,2)
(55,2,2)
(54,2,2)
(53,2,2)
(53,1,2)
(52,1,2)
(51,1,2)
(51,2,2)
(51,3,2)
(51,4,2)
(51,5,2)
(50,5,2)
(50,6,2)
(49,6,2)
(49,7,2)
(48,7,2)
(48,8,2)
(47,8,2)
(47,9,2)
(47,10,2)
(46,10,2)
(46,11,2)
(45,11,2)
(45,12,2)
(44,12,2)
(43,12,2)
(43,13,2)
(42,13,2)
(41,13,2)
(41,14,2)
(40,14,2)
(40,15,2)
(40,16,2)
(39,16,2)
(39,17,2)
(39,18,2)
(38,18,2)
(37,18,2)
(36,18,2)
(35,18,2)
(34,18,2)
(33,18,2)
(32,18,2)
(31,18,2)
(31,17,2)
(31,16,2)
(31,15,2)
(31,14,2)
(30,14,2)
(30,13,2)
(29,13,2)
(28,13,2)
(27,13,2)
(26,13,2)
(25,13,2)
(24,13,2)
(24,14,2)
(23,14,2)
(23,15,2)
(22,15,2)
(21,15,2)
(20,15,2)
(19,15,2)
(18,15,2)
(18,16,2)
(17,16,2)
(16,16,2)
(15,16,2)
(14,16,2)
(14,17,2)
(14,18,2)
(14,19,2)
(14,20,2)
(14,21,2)
(13,21,2)
(12,21,2)
(11,21,2)
(10,21,2)
(9,21,2)
(8,21,2)
(7,21,2)
(6,21,2)
(5,21,2)
(5,20,2)
(4,20,2)
(3,20,2)
(2,20,2)
(1,20,1)
(0,20,0)
